60 m
8.89;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
9.01;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
80 m
11.79;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.79;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
80 m Hürden 76.2
15.08;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
100 m Hürden 76.2
15.08;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Hoch
1.25;X;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Weit Zone
4.68;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
4.61;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
Kugel 3.00 kg
10.81;1;None;29.07.2020;Bern;Interner STB Sommerwettkampf;Limite erfüllt
Diskus 0.75 kg
30.13;2;None;29.07.2020;Bern;Interner STB Sommerwettkampf;Limite erfüllt
Speer 400 gr
42.33;;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
38.46;1;None;29.07.2020;Bern;Interner STB Sommerwettkampf;Limite erfüllt
Ball 200 g
64.2;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
62.72;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
UBS Kids Cup
2198.0;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
2174.0;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
