60 m
8.13;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup;Limite erfüllt
8.18;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
8.18;2f;None;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
8.27;1;None;20.08.2020;Liebefeld;UBS Kids Cup;Limite erfüllt
8.32;2h1;None;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
8.39;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
8.46;;None;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
60 m Hü 76.2 U14 W Outdoor
10.08;1 4;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
Weit Zone
5.03;;None;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
5.02;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup;Limite erfüllt
5.02;1;None;20.08.2020;Liebefeld;UBS Kids Cup;Limite erfüllt
5.01;1 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen;Limite erfüllt
5.0;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
4.97;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
Speer 400 gr
37.29;1 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen;Limite erfüllt
34.92;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
Ball 200 g
50.28;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
48.59;;None;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
44.41;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
43.56;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
UBS Kids Cup
2255.0;1;None;20.08.2020;Liebefeld;UBS Kids Cup;Limite erfüllt
2209.0;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup;Limite erfüllt
2107.0;1;None;27.06.2020;Ostermundigen;UBS Kids Cup;Limite erfüllt
